instance_id,seed_transpiler,optimization_level,layout_method,seed_simulator,shots,method,score,transpiled_depth,transpiled_size
ring6,0,1,sabre,0,16,QAOA_p1,2.375,35,84
ring6,0,1,sabre,1,16,QAOA_p1,3.25,35,84
ring6,0,1,sabre,2,16,QAOA_p1,4.125,35,84
ring6,0,1,sabre,3,16,QAOA_p1,2.875,35,84
ring6,0,1,sabre,4,16,QAOA_p1,2.375,35,84
ring6,0,1,sabre,5,16,QAOA_p1,2.625,35,84
ring6,0,1,sabre,6,16,QAOA_p1,3.25,35,84
ring6,0,1,sabre,7,16,QAOA_p1,3.25,35,84
ring6,0,1,sabre,8,16,QAOA_p1,3.375,35,84
ring6,0,1,sabre,9,16,QAOA_p1,2.375,35,84
ring6,0,1,sabre,10,16,QAOA_p1,3.0,35,84
ring6,0,1,sabre,11,16,QAOA_p1,3.0,35,84
ring6,0,1,sabre,12,16,QAOA_p1,3.125,35,84
ring6,0,1,sabre,13,16,QAOA_p1,2.875,35,84
ring6,0,1,sabre,14,16,QAOA_p1,3.5,35,84
ring6,0,1,sabre,15,16,QAOA_p1,3.0,35,84
ring6,0,1,sabre,16,16,QAOA_p1,3.125,35,84
ring6,0,1,sabre,17,16,QAOA_p1,2.625,35,84
ring6,0,1,sabre,18,16,QAOA_p1,3.125,35,84
ring6,0,1,sabre,19,16,QAOA_p1,3.25,35,84
ring6,0,1,sabre,0,32,QAOA_p1,2.875,35,84
ring6,0,1,sabre,1,32,QAOA_p1,3.0,35,84
ring6,0,1,sabre,2,32,QAOA_p1,3.625,35,84
ring6,0,1,sabre,3,32,QAOA_p1,3.0,35,84
ring6,0,1,sabre,4,32,QAOA_p1,2.625,35,84
ring6,0,1,sabre,5,32,QAOA_p1,2.75,35,84
ring6,0,1,sabre,6,32,QAOA_p1,3.3125,35,84
ring6,0,1,sabre,7,32,QAOA_p1,2.5625,35,84
ring6,0,1,sabre,8,32,QAOA_p1,3.25,35,84
ring6,0,1,sabre,9,32,QAOA_p1,2.8125,35,84
ring6,0,1,sabre,10,32,QAOA_p1,3.4375,35,84
ring6,0,1,sabre,11,32,QAOA_p1,3.125,35,84
ring6,0,1,sabre,12,32,QAOA_p1,3.25,35,84
ring6,0,1,sabre,13,32,QAOA_p1,2.5,35,84
ring6,0,1,sabre,14,32,QAOA_p1,3.3125,35,84
ring6,0,1,sabre,15,32,QAOA_p1,3.0,35,84
ring6,0,1,sabre,16,32,QAOA_p1,3.4375,35,84
ring6,0,1,sabre,17,32,QAOA_p1,2.875,35,84
ring6,0,1,sabre,18,32,QAOA_p1,3.1875,35,84
ring6,0,1,sabre,19,32,QAOA_p1,2.875,35,84
ring6,0,1,sabre,0,64,QAOA_p1,3.09375,35,84
ring6,0,1,sabre,1,64,QAOA_p1,3.0,35,84
ring6,0,1,sabre,2,64,QAOA_p1,3.375,35,84
ring6,0,1,sabre,3,64,QAOA_p1,3.3125,35,84
ring6,0,1,sabre,4,64,QAOA_p1,2.65625,35,84
