suite,space_preset,instance_id,seed_transpiler,optimization_level,layout_method,seed_simulator,shots,method,score,transpiled_depth,transpiled_size,device_provider,device_name,device_mode,device_snapshot_fingerprint,circuit_depth,two_qubit_count,swap_count
standard,baseline,ring6,0,0,trivial,0,1024,QAOA_p1,3.10546875,38,84,,,,,38,24,0
standard,baseline,ring6,6,0,sabre,0,1024,QAOA_p1,3.09375,35,84,,,,,35,24,0
standard,baseline,ring6,0,0,trivial,0,1024,QAOA_p2,3.07421875,78,153,,,,,78,57,0
standard,baseline,ring6,6,0,sabre,0,1024,QAOA_p2,3.015625,84,147,,,,,84,51,0
standard,baseline,ring6,0,0,trivial,0,1024,RandomBaseline,3.017578125,4,24,,,,,4,0,0
standard,baseline,ring6,6,0,sabre,0,1024,RandomBaseline,3.00390625,4,24,,,,,4,0,0
standard,baseline,ring8,0,0,trivial,0,1024,QAOA_p1,4.150390625,47,114,,,,,47,34,0
standard,baseline,ring8,6,0,sabre,0,1024,QAOA_p1,4.154296875,53,114,,,,,53,34,0
standard,baseline,ring8,0,0,trivial,0,1024,QAOA_p2,4.080078125,101,211,,,,,101,83,0
standard,baseline,ring8,6,0,sabre,0,1024,QAOA_p2,4.103515625,108,202,,,,,108,74,0
standard,baseline,ring8,0,0,trivial,0,1024,RandomBaseline,4.02734375,4,32,,,,,4,0,0
standard,baseline,ring8,6,0,sabre,0,1024,RandomBaseline,4.033203125,4,32,,,,,4,0,0
standard,baseline,er_n8_p0.3_seed0,0,0,trivial,0,1024,QAOA_p1,0.548828125,34,108,,,,,34,32,0
standard,baseline,er_n8_p0.3_seed0,6,0,sabre,0,1024,QAOA_p1,0.546875,15,84,,,,,15,8,0
standard,baseline,er_n8_p0.3_seed0,0,0,trivial,0,1024,QAOA_p2,1.2890625,47,160,,,,,47,40,0
standard,baseline,er_n8_p0.3_seed0,6,0,sabre,0,1024,QAOA_p2,1.3310546875,26,136,,,,,26,16,0
standard,baseline,er_n8_p0.3_seed0,0,0,trivial,0,1024,RandomBaseline,2.013671875,4,32,,,,,4,0,0
standard,baseline,er_n8_p0.3_seed0,6,0,sabre,0,1024,RandomBaseline,2.0322265625,4,32,,,,,4,0,0
standard,baseline,er_n8_p0.3_seed1,0,0,trivial,0,1024,QAOA_p1,5.513671875,61,144,,,,,61,61,0
standard,baseline,er_n8_p0.3_seed1,6,0,sabre,0,1024,QAOA_p1,5.57421875,52,126,,,,,52,43,0
standard,baseline,er_n8_p0.3_seed1,0,0,trivial,0,1024,QAOA_p2,5.15625,112,262,,,,,112,128,0
standard,baseline,er_n8_p0.3_seed1,6,0,sabre,0,1024,QAOA_p2,5.2744140625,87,229,,,,,87,95,0
standard,baseline,er_n8_p0.3_seed1,0,0,trivial,0,1024,RandomBaseline,5.423828125,4,32,,,,,4,0,0
standard,baseline,er_n8_p0.3_seed1,6,0,sabre,0,1024,RandomBaseline,5.490234375,4,32,,,,,4,0,0
standard,baseline,er_n10_p0.25_seed0,0,0,trivial,0,1024,QAOA_p1,1.0185546875,26,108,,,,,26,14,0
standard,baseline,er_n10_p0.25_seed0,6,0,sabre,0,1024,QAOA_p1,1.015625,18,102,,,,,18,8,0
standard,baseline,er_n10_p0.25_seed0,0,0,trivial,0,1024,QAOA_p2,1.298828125,42,170,,,,,42,22,0
standard,baseline,er_n10_p0.25_seed0,6,0,sabre,0,1024,QAOA_p2,1.2802734375,29,164,,,,,29,16,0
standard,baseline,er_n10_p0.25_seed0,0,0,trivial,0,1024,RandomBaseline,2.0458984375,4,40,,,,,4,0,0
standard,baseline,er_n10_p0.25_seed0,6,0,sabre,0,1024,RandomBaseline,1.9609375,4,40,,,,,4,0,0
